participant,video_id,accuracy_pct
P1,amb_d_drawer_close,40.00
P2,amb_d_drawer_close,60.00
P3,amb_d_drawer_close,20.00
P4,amb_d_drawer_close,60.00
P5,amb_d_drawer_close,60.00
P6,amb_d_drawer_close,60.00
P7,amb_d_drawer_close,60.00
P8,amb_d_drawer_close,100.00
P1,amb_l_block,80.00
P2,amb_l_block,80.00
P3,amb_l_block,60.00
P4,amb_l_block,80.00
P5,amb_l_block,80.00
P6,amb_l_block,100.00
P7,amb_l_block,80.00
P8,amb_l_block,80.00
P1,amb_r_block,60.00
P2,amb_r_block,60.00
P3,amb_r_block,40.00
P4,amb_r_block,60.00
P5,amb_r_block,60.00
P6,amb_r_block,60.00
P7,amb_r_block,100.00
P8,amb_r_block,60.00
P1,amb_to_drawer_close,60.00
P2,amb_to_drawer_close,60.00
P3,amb_to_drawer_close,60.00
P4,amb_to_drawer_close,60.00
P5,amb_to_drawer_close,60.00
P6,amb_to_drawer_close,60.00
P7,amb_to_drawer_close,60.00
P8,amb_to_drawer_close,40.00
P1,le_d_drawer_close,60.00
P2,le_d_drawer_close,60.00
P3,le_d_drawer_close,40.00
P4,le_d_drawer_close,80.00
P5,le_d_drawer_close,60.00
P6,le_d_drawer_close,60.00
P7,le_d_drawer_close,100.00
P8,le_d_drawer_close,100.00
P1,le_l_block,75.00
P2,le_l_block,75.00
P3,le_l_block,50.00
P4,le_l_block,75.00
P5,le_l_block,75.00
P6,le_l_block,100.00
P7,le_l_block,75.00
P8,le_l_block,75.00
P1,le_r_block,80.00
P2,le_r_block,80.00
P3,le_r_block,60.00
P4,le_r_block,80.00
P5,le_r_block,80.00
P6,le_r_block,80.00
P7,le_r_block,80.00
P8,le_r_block,80.00
P1,le_t_drawer_close,60.00
P2,le_t_drawer_close,60.00
P3,le_t_drawer_close,60.00
P4,le_t_drawer_close,60.00
P5,le_t_drawer_close,60.00
P6,le_t_drawer_close,40.00
P7,le_t_drawer_close,60.00
P8,le_t_drawer_close,40.00
